cytoband	3q26.2	8q24.21	11q13.3	7p11.2	19q12	17q12	1q21.3	12q15	8p11.23	5p15.33	20q13.2	17q25.1	4q12	20q11.21	12p12.1	6p22.3	13q34	7q21.2	15q26.3	12q14.1	Xq28	19p13.12	1p34.2	12p13.33	6p21.1	8p11.21	1q32.1	14q13.3	9p13.3	18q11.2	10p15.1	4p16.3	2q31.2	6q21	5q35.3	11p13	10q22.2	22q11.21	1q44	
																																						RN7SL168P		
																																						SCARF2		
																																						RN7SL280P		
																																						SNORA15|ENSG00000251940.1		
																																						SCARNA17|ENSG00000252020.1		
																																						SCARNA18|ENSG00000252024.1		
																																						SCARNA17|ENSG00000252143.1		
																																						SCARNA18|ENSG00000252314.1		
																																						snoU13|ENSG00000252402.1		
																																						SCARNA17|ENSG00000252571.1		
																																						SCARNA18|ENSG00000252605.1		
																																						snoU13|ENSG00000252799.1		
																																						SNORA77|ENSG00000264346.1		
																																						MIR4761		
																																						RN7SL389P		
																																						MIR3618		
																																						snoU13|ENSG00000271796.1		
