cytoband	9p21.3	5q12.1	13q14.2	10q23.31	16q23.1	8p23.2	19p13.3	4q34.3	1p36.31	2q22.1	6q26	4q22.1	2q37.3	3p14.2	22q13.32	11p15.5	18q23	Xp21.1	9p23	6p25.3	20p12.1	17p13.1	16p13.3	11q23.2	17q11.2	11q25	15q15.1	18q21.2	3q13.31	14q23.3	12p13.1	10p15.3	10q26.3	21q11.2	7q36.1	6q16.1	7q31.1	13q12.11	3p26.2	19q13.32	8p21.2	12q24.33	19q13.43	12q23.1	15q11.2	21q22.3	9q21.11	7p22.3	4p16.3	14q32.32	1p36.23	1p13.2	1q44	1p36.11	
	DMRTA1												THAP4		LMF2	RIC8A	HSBP1L1							NXPE4										SNORA70|ENSG00000252199.1		KLHL32				ZNF541	KCTD9	DDX51	CHMP2A		GOLGA8EP		FAM27A	ZFAND2A	CPLX1			CASQ2	C1orf101	snoU13|ENSG00000238316.1	
	IFNE												D2HGDH		CHKB	B4GALNT4	RNA5SP461							BTG4										RN7SL52P		U3|ENSG00000200492.1				SLC8A2	BNIP3L	EP400NL	UBE2M		MKRN3		ANKRD20A2	PRKAR1B	ATP5I			TSPAN2	SMYD3	RN7SL165P	
	IFNA10												CXXC11		ARSA	PKP3	SALL3							RDX										MIR3687		U3|ENSG00000221455.1				KPTN	TNFRSF10B	P2RX2	TRIM28		HERC2P3		FOXD4L4	PDGFA	MFSD7			TSHB	ZNF669	RN7SL679P	
	IFNA2												PDCD1		ACR	ANO9	RBFADN							PPP2R1B										MIR3648		MIR2113				TMEM160	SORBS3	ZNF140	ZNF132		NDN		SPATA31A6	MIR339	PIGG			SYT6	ZNF695	RN7SL501P	
	IFNA1												NEU4		BRD1	SIGIRR								FDX1												RN7SL415P				ZC3H4	PPP3CC	ZNF605	ZNF256		OR4M2		FOXD4L3	GET4	RNF212			PTPN22	RN7SKP55		
	KLHL9												RNA5SP122		ZBED4	IFITM2								C11orf1												RN7SL797P				NPAS1	PDLIM2	ZNF84	ZSCAN1		OR4N4		ZNF658	COX19	GAK			NGF	EFCAB2		
	MIR31												MIR3133		MLC1	PSMD13								ARHGAP20												SNORA18|ENSG00000252249.1				DHX34	LOXL2	ZNF26	ZNF837		GOLGA8DP		ANKRD20A1		ZNF721			AP4B1	COX20		
	IFNA7														HDAC10	IFITM1								ZC3H12C												RN7SL509P				C5AR2	PEBP4	RNA5SP379	ZNF606		NPAP1		CBWD3		PCGF3			HIPK1	C1orf229		
	C9orf53														TUBGCP6	SCGB1C1								TTC12												MIR4643				SAE1	ADAMDEC1	LRCOL1	ZNF584		WHAMMP3		RNA5SP283		ZNF732			SLC22A15	SNORA25|ENSG00000252011.1		
	IFNA14														ADM2	IFITM5								NCAM1												MIR4464				ARHGAP35	GNRH1	ZNF891	ZNF274		GOLGA6L1		FOXD4L5		ZNF595			VANGL1	SNORD112|ENSG00000252495.1		
	IFNA13														KLHDC7B	RN7SL838P								DRD2																FKRP	BIN3	ANHX	ZNF497		ATP10A		CBWD6		ZNF876P			DENND2C			
	IFNA17														SCO2									C11orf52																C5AR1	SLC25A37	PGAM5	ZNF135		SNORD115|ENSG00000212428.1		FOXD4L6		MIR571			NHLH2			
	IFNA4														TTLL8									HTR3B																SNORD23|ENSG00000221803.1	CHMP7	RNU4ATAC12P	C19orf18		SNORA48|ENSG00000212604.1		FAM27E2		SNORA48|ENSG00000212458.1			BCL2L15			
	RN7SL151P														TRABD									C11orf53																snoU13|ENSG00000252071.1	DOCK5	ZNF10	ZNF329		SNURF		FOXD4L2		TMED11P			TRIM33			
	SNORD39|ENSG00000264379.1														ODF3B									DIXDC1																PRR24	KIAA1967	MUC8	ZSCAN22		GOLGA6L6		FAM74A3		MYL5			SYCP1			
															ALG12									DLAT																RN7SL533P	STC1		ZNF418		MIR1268A		SPATA31A2		ZNF718			SNORA42|ENSG00000207502.1			
															CRELD2									PIH1D2																RN7SL322P	TNFRSF10D		ZNF544		RNA5SP390		SPATA31A1		ABCA11P			NRAS			
															MAPK11									C11orf57																MIR3191	TNFRSF10C		RPL23AP79		SNHG14		FAM201A		RN7SL358P			RN7SL420P			
															MAPK12									TIMM8B																	EGR3		RN7SL526P		POTEB2		RNA5SP284					RN7SL432P			
															IL17REL									IL18																	CDCA2		ZNF324B		POTEB		FAM74A5								
															C22orf34									TEX12																	PIWIL2		RNA5SP473		snoU13|ENSG00000238615.1		CBWD7								
															PLXNB2									PTS																	ENTPD4		RN7SL525P		snoU13|ENSG00000238960.1		FAM95B1								
															PIM3									TMPRSS5																	RNA5SP258		RN7SL693P		SNORD108		FAM74A1								
															CPT1B									HTR3A																	SNORA67|ENSG00000207027.1		MIR4754		snoU13|ENSG00000239083.1		PGM5P2								
															DENND6B									NNMT																	FP15737				SNORD109B		FAM74A4								
															SYCE3									SIK2																	EBF2				RN7SL584P		FAM74A2								
															FAM19A5									ANKK1																	PPP2R2A				RN7SL545P		FAM27D1								
															RN7SKP252									HSPB2																	SDAD1P1				RN7SL759P		FAM27E3								
															RN7SL500P									C11orf71																	RN7SL303P				RN7SL536P		SPATA31A5								
															SHANK3									CADM1																	PNMA2				RN7SL106P		SPATA31A4								
															MIR3667									C11orf88																	RN7SL651P				RN7SL400P		FAM74A6								
															MIR3201									C11orf87																	C8orf58				RN7SL495P		SPATA31A7								
															MIR4535									C11orf34																					MAGEL2		FAM27E1								
																								C11orf92																					NBEAP1		MIR1299								
																								BCO2																					CT60		RN7SL787P								
																								RNA5SP350																					LINC00929		SNORA70|ENSG00000252133.1								
																								NXPE2																					CHEK2P2		SNORA70|ENSG00000252617.1								
																								SDHD																					PWRN1		SNORA70|ENSG00000252724.1								
																								LAYN																					PWRN2		SNORA70|ENSG00000252878.1								
																								MIR34C																					GOLGA8S		RN7SL544P								
																								MIR34B																					MIR4508		RN7SL763P								
																								snosnR66																					MIR4715		RN7SL565P								
																								C11orf93																					DKFZP547L112		RN7SL640P								
																								RN7SKP273																					SNORD109A		RN7SL722P								
																								CLDN25																					SNORD64|ENSG00000270704.2		RN7SL422P								
																								snoU13|ENSG00000238625.1																							MIR4477A								
																								snoU13|ENSG00000238724.1																							RN7SL462P								
																								RNA5SP351																							RN7SL343P								
																								snoU13|ENSG00000239153.1																															
																								LINC00900																															
																								ACA59|ENSG00000252870.1																															
																								SDHD																															
																								FDXACB1																															
																								ATF4P4																															
																								ALG9																															
																								MIR4491																															
																								MIR4301																															
